Rank,Team,2005,Last 3,Last 1,Home,Away,2004
201,Wagner,0.971,0.996,1.128,1.002,0.945,0.938
202,Holy Cross,0.971,1.067,0.933,0.99,0.956,1.016
203,Iowa,0.97,0.932,0.977,1.007,0.932,1.03
204,Texas Tech,0.97,1.041,1.134,1.042,0.898,1.055
205,W Carolina,0.97,0.956,0.98,1.113,0.887,0.883
206,Weber State,0.97,1.106,1.028,1.05,0.898,0.997
207,LIU-Brooklyn,0.969,0.98,0.895,1.007,0.943,0.937
208,Denver,0.969,0.957,1.022,1.063,0.91,1.038
209,N Florida,0.968,0.973,0.852,1.064,0.898,1.093
210,TX-San Ant,0.968,0.94,0.821,0.982,0.955,0.974
211,Georgia,0.967,0.876,0.884,1.013,0.926,0.879
212,Santa Clara,0.966,0.971,0.996,1.004,0.936,1.016
213,Miss Val St,0.966,1.386,0.785,0.973,0.962,0.989
214,Minnesota,0.966,0.967,0.915,1.003,0.915,0.985
215,Cal Poly,0.966,0.912,1.023,0.987,0.95,0.928
216,Nebraska,0.965,0.96,0.894,1.023,0.886,0.995
217,Arizona St,0.965,1.013,0.977,1.019,0.878,1.05
218,Missouri,0.965,0.994,1.034,1.023,0.888,0.965
219,Auburn,0.964,1.027,1.223,0.992,0.926,0.994
220,E Michigan,0.963,1,0.849,0.986,0.943,0.995
221,Wofford,0.963,0.996,1.015,1.021,0.929,0.983
222,NC-Grnsboro,0.961,1.03,0.861,1.023,0.929,0.938
223,Sacred Hrt,0.961,1.02,1.047,0.99,0.935,0.9
224,Georgia St,0.96,0.925,0.835,0.975,0.95,1.007
225,Northwestern,0.959,0.901,0.726,1.024,0.901,0.943
226,Miss State,0.959,0.974,0.768,0.975,0.939,1.031
227,U Mass,0.958,0.965,0.892,1.019,0.905,0.956
228,N Hampshire,0.957,1.084,0.934,1.017,0.919,0.936
229,Oregon St,0.956,0.923,0.714,0.975,0.942,0.998
230,Mt St Marys,0.956,1.045,1.138,0.987,0.931,0.941
231,Duquesne,0.955,0.975,0.9,0.971,0.935,0.973
232,S Methodist,0.955,0.839,0.752,1.001,0.909,1.003
233,Mississippi,0.955,0.893,0.907,1.021,0.87,0.975
234,Alab A&M,0.953,0.839,0.735,1.027,0.905,0.912
235,Loyola Mymt,0.953,0.953,0.945,0.981,0.934,0.947
236,Central FL,0.953,0.992,0.833,0.992,0.917,1.059
237,UC Davis,0.953,1.002,1.091,1.005,0.909,0.989
238,Columbia,0.952,0.91,0.921,0.978,0.931,0.937
239,Vermont,0.952,1.008,0.994,0.977,0.932,1.072
240,McNeese St,0.95,0.944,1.064,0.986,0.93,0.951
241,Harvard,0.95,0.825,0.993,0.968,0.933,0.935
242,Elon,0.95,1.028,0.91,0.957,0.944,0.888
243,Ball State,0.949,1.115,1.022,0.946,0.952,1.041
244,Binghamton,0.948,0.935,0.89,0.956,0.941,0.933
245,Longwood,0.944,1.013,1.023,1.035,0.896,0.841
246,Rice,0.944,0.919,0.85,0.962,0.925,1.031
247,Wm & Mary,0.943,0.893,0.942,0.962,0.926,0.923
