ID,Median Height,Median Weight,Max Height,Max Weight,Senior Count,Junior Count,Sophomore Count,Freshman Count
Q828,77.5,205.0,82,260.0,2,3,6,3
Q825,78.0,210.0,84,250.0,1,3,3,6
Q824,78.0,205.0,82,245.0,1,4,3,7
Q827,79.0,215.0,83,255.0,6,2,2,5
Q826,76.0,215.0,85,250.0,2,8,3,2
Q821,76.0,204.0,87,260.0,2,7,3,5
Q820,76.0,190.0,81,250.0,5,4,5,1
Q823,77.0,202.5,82,235.0,5,2,4,1
Q822,78.0,215.0,83,270.0,3,4,3,7
J705,76.5,200.0,78,220.0,1,0,5,4
J704,76.0,217.5,80,245.0,3,2,4,3
J707,76.5,197.5,81,255.0,3,1,3,7
J701,77.0,197.5,82,255.0,2,3,3,6
J700,76.5,207.0,80,250.0,1,2,4,5
J702,74.0,187.5,83,225.0,1,3,2,6
J708,76.0,207.0,83,260.0,3,6,4,4
K619,76.0,187.5,79,220.0,1,5,3,3
N676,78.5,201.5,81,264.0,4,3,2,5
O772,77.0,200.0,85,240.0,3,6,4,2
K610,76.5,200.0,83,280.0,3,4,3,6
K611,75.5,187.5,81,245.0,3,3,3,7
K612,76.5,205.0,84,255.0,3,4,2,5
K613,77.0,195.0,84,235.0,1,3,3,6
K614,76.0,200.0,84,235.0,1,1,4,7
K615,77.0,200.0,81,260.0,1,2,4,6
K616,77.0,205.0,83,270.0,2,2,3,5
