Team,Player,Height,Weight,Age
Belmont,Matthew Dotson,80,220,Junior
Belmont,Justin Hare,74,195,Senior
Belmont,Henry Harris,73,170,Junior
Belmont,Jon House,78,210,Freshman
Belmont,Andrew House,76,200,Junior
Belmont,Will Peeples,77,220,Junior
Belmont,Alex Renfroe,74,160,Junior
Belmont,Jonny Rice,72,165,Freshman
Belmont,Andy Wicke,74,195,Junior
Bethune-Cookman,John Anderson,78,245,Senior
Bethune-Cookman,Jordan Carrier,70,170,Senior
Bethune-Cookman,Kyle Cook,78,260,Freshman
Bethune-Cookman,Kevan Creppy,76,180,Junior
Bethune-Cookman,Josh Cummings,74,190,Junior
Bethune-Cookman,John Holmes,77,190,Junior
Bethune-Cookman,Jimmy Hudson,76,200,Senior
Bethune-Cookman,Gerrell Knightshead,79,240,Freshman
Bethune-Cookman,Tobias Mahone,75,215,Junior
Bethune-Cookman,Dewayne Pettus,74,175,Senior
Bethune-Cookman,Dominique Whatley,77,210,Freshman
Bethune-Cookman,Joey Woods,74,180,Freshman
Binghamton,Moussa Camara,77,185,Freshman
Binghamton,Theo Davis,81,198,Freshman
Binghamton,Richard Forbes,72,180,Senior
Binghamton,Reggie Fuller,78,195,Junior
Binghamton,Mike Gordon,72,170,Senior
Binghamton,Chad Henry,73,165,Freshman
Binghamton,Brandon Herbert,72,180,Freshman
Binghamton,Dwayne Jackson,75,200,Junior
Binghamton,Milos Klimovic,79,220,Junior
Binghamton,Miladin Kovacevic,81,260,Sophomore
Binghamton,Chretien Lukusa,74,210,Freshman
Binghamton,Devon McBride,76,210,Freshman
Binghamton,Jaan Montgomery,83,290,Junior
Binghamton,Giovanni Olomo,80,220,Senior
Binghamton,Lazar Trifunovic,80,230,Sophomore
Boise State,Matt Bauscher,75,202,Senior
Boise State,Kurt Cunningham,81,265,Sophomore
Boise State,Aaron Garner,75,175,Junior
Boise State,Jamar Greene,72,203,Junior
Boise State,Reggie Larry,78,224,Senior
Boise State,Nate Larsen,74,190,Sophomore
Boise State,Zack Moritz,82,246,Freshman
Boise State,Matt Nelson,81,232,Senior
Boise State,Paul Noonan,79,210,Freshman
Boise State,Ike Okoye,81,230,Junior
Boise State,Shawn Rouse,78,187,Freshman
Boise State,Mark Sanchez,79,235,Junior
Boise State,Anthony Thomas,72,205,Sophomore
Boise State,Tyler Tiedeman,79,212,Senior
Boston College,Brennan Bennett,72,185,Sophomore
Boston College,Tyrelle Blair,83,242,Senior
Boston College,Cortney Dunn,80,215,Freshman
Boston College,Daye Kaba,76,214,Sophomore
Boston College,John Oates,82,255,Senior
Boston College,Biko Paris,73,200,Freshman
Boston College,Corey Raji,77,210,Freshman
Boston College,Tyrese Rice,73,190,Junior
Boston College,Tyler Roche,79,220,Sophomore
Boston College,Rakim Sanders,77,225,Freshman
Boston College,Josh Southern,82,255,Freshman
Boston College,Shamari Spears,78,238,Sophomore
Boston University,Tunde Agboola,76,197,Sophomore
Boston University,Scott Brittain,81,221,Sophomore
Boston University,Will Creekmore,81,245,Freshman
Boston University,Max Gotzler,79,245,Junior
Boston University,John Holland,77,190,Freshman
Boston University,Marques Johnson,71,165,Junior
Boston University,Matt Killen,82,224,Freshman
Boston University,Ibrahim Konate,80,205,Junior
Boston University,Corey Lowe,74,200,Sophomore
Boston University,Tyler Morris,74,190,Sophomore
Boston University,Valdas Sirutis,79,215,Sophomore
Boston University,Sherrod Smith,76,185,Sophomore
Boston University,Carlos Strong,75,215,Sophomore
Boston University,Sam Tully,74,175,Junior
Boston University,Matt Wolff,78,215,Junior
Bowling Green,Darryl Clements,76,200,Junior
Bowling Green,Ryne Hamblet,77,170,Senior
Bowling Green,Joe Jakubowski,74,180,Freshman
Bowling Green,Matt Karaffa,75,210,Sophomore
Bowling Green,Chris Knight,79,210,Freshman
Bowling Green,Marc Larson,81,245,Sophomore
Bowling Green,Cameron Madlock,80,200,Freshman
Bowling Green,Erik Marschall,79,235,Junior
Bowling Green,Nate Miller,76,240,Junior
Bowling Green,Brian Moten,76,190,Junior
Bowling Green,Otis Polk,81,280,Sophomore
Bowling Green,Dusan Radivojevic,79,215,Junior
Bowling Green,Ryan Sims,73,180,Sophomore
Bradley,Rashad Austin,79,245,Junior
Bradley,Tyrone Cole-Scott,70,186,Junior
Bradley,David Collins,84,240,Junior
Bradley,Jeremy Crouch,77,216,Senior
Bradley,Will Egolf,81,220,Freshman
Bradley,Brian Lavin,72,174,Junior
Bradley,Sam Maniscalco,72,185,Freshman
Bradley,Ryan Phillips,75,207,Sophomore
Bradley,Daniel Ruffin,70,162,Senior
Bradley,Matt Salley,79,230,Senior
Bradley,Sam Singh,81,256,Junior
Bradley,Cameron Sweatman,79,183,Freshman
Bradley,Anthony Thompson,82,186,Freshman
Bradley,Andrew Warren,77,200,Sophomore
Bradley,Theron Wilson,77,197,Junior
Brigham Young,James Anderson,82,220,Freshman
Brigham Young,Sam Burgess,75,190,Senior
Brigham Young,Chris Collinsworth,81,205,Freshman
Brigham Young,Lee Cummard,79,185,Junior
Brigham Young,Jimmer Fredette,74,190,Freshman
Brigham Young,Vuk Ivanovic,82,250,Senior
Brigham Young,Michael Loyd Jr.,73,170,Freshman
Brigham Young,Gavin MacGregor,82,235,Junior
Brigham Young,Nick Martineau,71,170,Freshman
Brigham Young,Chris Miles,83,235,Sophomore
Brigham Young,Lamont Morgan Jr.,70,170,Junior
Brigham Young,Ben Murdock,74,185,Senior
Brigham Young,Matt Pinegar,72,185,Freshman
Brigham Young,Trent Plaisted,83,245,Junior
Brigham Young,Archie Rose,77,205,Junior
Brigham Young,Jonathan Tavernari,78,215,Sophomore
Brown,Colin Aldridge,79,210,Sophomore
Brown,Jelani Floyd,80,215,Freshman
Brown,Scott Friske,79,235,Junior
Brown,Steve Gruber,71,170,Sophomore
Brown,Damon Huffman,74,185,Senior
Brown,Aaron Jimenez,79,215,Junior
Brown,Sean Kane,77,185,Freshman
Brown,Morgan Kelly,81,220,Freshman
Brown,Garrett Leffelman,76,195,Freshman
Brown,Mark MacDonald,81,235,Senior
Brown,Mark McAndrew,74,190,Senior
Brown,Matt Mullery,80,235,Sophomore
Brown,Chris Skrelja,77,205,Junior
Brown,Peter Sullivan,77,210,Freshman
Brown,Chris Taylor,80,220,Freshman
Brown,Adrian Williams,73,180,Freshman
Bucknell,Patrick Behan,80,225,Sophomore
Bucknell,G.W. Boon,76,211,Freshman
Bucknell,Justin Castleberry,73,195,Junior
Bucknell,Zach Evans,77,195,Sophomore
Bucknell,Matt Fiery,71,170,Sophomore
Bucknell,John Griffin,72,175,Senior
Bucknell,Josh Linthicum,83,241,Junior
Bucknell,Darren Mastropaolo,80,250,Senior
Bucknell,George Medrano,71,175,Sophomore
Bucknell,Todd O'Brien,83,221,Freshman
Bucknell,Darryl Shazier,72,161,Freshman
Bucknell,Rob Thomas,75,185,Senior
Bucknell,Stephen Tyree,75,190,Sophomore
Bucknell,Jason Vegotsky,74,187,Junior
Buffalo,Brian Addison,80,225,Junior
Buffalo,Jawaan Alston,80,220,Freshman
Buffalo,Andrew Atman,84,210,Senior
Buffalo,Dave Barnett,77,200,Freshman
Buffalo,Calvin Betts,75,225,Sophomore
Buffalo,Max Boudreau,79,230,Sophomore
Buffalo,John Boyer,73,185,Sophomore
Buffalo,Vadim Fedotov,81,260,Junior
Buffalo,Greg Gamble,76,200,Junior
Buffalo,Kambi Laleye,81,210,Sophomore
Buffalo,Byron Mulkey,72,170,Sophomore
Buffalo,Rodney Pierce,74,195,Sophomore
Buffalo,Andy Robinson,73,190,Junior
Buffalo,Christian Schmidt,80,210,Junior
Buffalo,Sean Smiley,73,165,Junior
Butler,Alex Anglin,76,170,Sophomore
Butler,Julian Betko,78,200,Senior
Butler,Pete Campbell,79,205,Senior
Butler,Elliot Engelmann,78,220,Sophomore
Butler,A.J. Graves,73,160,Senior
Butler,Mike Green,73,184,Senior
Butler,Zach Hahn,73,170,Freshman
Butler,Matt Howard,80,225,Freshman
Butler,Avery Jukes,80,215,Sophomore
Butler,Grant Leiendecker,76,180,Freshman
Butler,Nick Rodgers,74,165,Sophomore
Butler,Ben Slaton,74,175,Junior
Butler,Drew Streicher,80,205,Senior
Butler,Shawn Vanzant,73,165,Freshman
Butler,Willie Veasley,75,200,Sophomore
Cal Poly,Charles Anderson,78,185,Sophomore
Cal Poly,Jonathan Biggs,76,185,Freshman
Cal Poly,Trae Clark,71,170,Junior
Cal Poly,Matt Hanson,79,210,Senior
Cal Poly,Bo Henning,75,180,Freshman
Cal Poly,Rick Higgins,73,165,Freshman
Cal Poly,Lorenzo Keeler,73,165,Sophomore
Cal Poly,Coby Leavitt,81,210,Junior
Cal Poly,Jordan Lewis,77,195,Freshman
Cal Poly,Shawn Lewis,76,210,Freshman
Cal Poly,John Manley,80,225,Junior
Cal Poly,Cliff Sammet,80,215,Junior
Cal Poly,Titus Shelton,79,240,Junior
Cal Poly,Chaz Thomas,72,175,Junior
Cal Poly,Zach Thurow,81,290,Senior
Cal Poly,Dreshawn Vance,80,190,Senior
Cal Poly,Dawin Whiten,75,205,Senior
Cal State Bakersfield,Trent Blakely,76,217,Sophomore
Cal State Bakersfield,Donavan Bragg,75,195,Freshman
Cal State Bakersfield,Ryan Brown,77,190,Sophomore
Cal State Bakersfield,Cory Brown,81,213,Freshman
Cal State Bakersfield,Zack Grasmick,73,186,Senior
Cal State Bakersfield,Demarcus Hall,79,195,Senior
Cal State Bakersfield,Terrence Johns,75,195,Junior
Cal State Bakersfield,Alex Johnson,70,165,Freshman
Cal State Bakersfield,Santwon Latunde,78,260,Junior
Cal State Bakersfield,Donald Lee,78,230,Junior
Cal State Bakersfield,Rick Robinson,79,220,Senior
Cal State Bakersfield,Robert Rose,74,216,Sophomore
Cal State Bakersfield,Javarus Stewart,72,170,Junior
Cal State Fullerton,Josh Akognon,71,185,Junior
Cal State Fullerton,Kenneth Alexander,78,230,Senior
Cal State Fullerton,Gerard Anderson,78,205,Junior
Cal State Fullerton,Marcus Crenshaw,70,170,Junior
Cal State Fullerton,Scott Cutley,77,235,Senior
Cal State Fullerton,Andrew Green,78,255,Senior
Cal State Fullerton,Marcio Lassiter,74,185,Junior
Cal State Fullerton,Eddie Lima,81,280,Junior
Cal State Fullerton,Marcus Morgan,77,240,Senior
Cal State Fullerton,Ray Reed,71,165,Senior
Cal State Fullerton,Frank Robinson,76,220,Senior
Cal State Fullerton,Junior Russell,66,165,Junior
Cal State Fullerton,Adam Thomas,86,235,Junior
Cal State Northridge,Calvin Chitwood,80,220,Senior
Cal State Northridge,Rai Colston,69,190,Senior
Cal State Northridge,Rob Haynes,76,185,Junior
Cal State Northridge,Jonathan Heard,78,195,Senior
Cal State Northridge,Josh Jenkins,70,185,Junior
Cal State Northridge,Michael Lizarraga,,0,
Cal State Northridge,Rodrigue Mels,75,180,Junior
Cal State Northridge,Jayme Miller,80,240,Senior
Cal State Northridge,Tony Osunsanmi,76,190,Sophomore
Cal State Northridge,Xavier Reed,77,215,Freshman
Cal State Northridge,Evan Scott,78,210,Freshman
Cal State Northridge,Therin Taylor,77,180,Sophomore
Cal State Northridge,Tremaine Townsend,81,215,Junior
Cal State Northridge,Deon Tresvant,72,170,Junior
Cal State Northridge,Matthew Wallace,74,160,Freshman
Cal State Northridge,Paul Wayne,,0,
California,Omondi Amoke,78,225,Freshman
California,Ryan Anderson,82,240,Sophomore
California,Patrick Armstrong,71,175,Sophomore
California,Jamal Boykin,80,235,Sophomore
California,Patrick Christopher,77,215,Sophomore
California,Thomas Fang,77,210,Sophomore
California,Jordan Fillmore,80,240,Freshman
California,DeVon Hardin,83,250,Senior
California,Taylor Harrison,82,245,Sophomore
California,Harper Kamp,80,245,Freshman
California,Nikola Knezevic,74,185,Sophomore
California,David Liss,71,170,Sophomore
California,Eddie Miller,76,185,Freshman
California,Jerome Randle,70,165,Sophomore
California,Theo Robertson,78,225,Junior
California,Nican Robinson,70,185,Sophomore
California,Eric Vierneisel,79,210,Senior
California,Jordan Wilkes,84,235,Sophomore
California,Max Zhang,86,220,Freshman
Campbell,Reggie Bishop,75,200,Senior
Campbell,Eddie Brown,81,200,Junior
Campbell,Jose Cami,74,185,Freshman
Campbell,Jake Capin,74,190,Freshman
Campbell,Cole Dewey,74,160,Freshman
Campbell,Preston Dodson,77,210,Freshman
Campbell,Oladapo Fagbenle,81,230,Junior
Campbell,Junard Hartley,75,205,Freshman
Campbell,Julius Perkins,73,175,Junior
Campbell,Jonathan Perry,69,150,Freshman
Campbell,Ruell Pringle,74,190,Senior
Campbell,Jonathan Rodriguez,77,200,Sophomore
Campbell,Will Steiger,78,225,Freshman
Campbell,Kyle Vejraska,80,195,Sophomore
Campbell,Jake Wohlfeil,76,180,Senior
Canisius,Menghe 'Papi' a'Nyam,76,215,Sophomore
Canisius,Bob Bevilacqua,73,165,Junior
Canisius,Julius Coles,76,180,Freshman
